                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  09-12-2023 05:47:20:837:539                      dronePositionX                                 15
  09-12-2023 05:47:20:939:858                          user input                                 -1
  09-12-2023 05:47:20:939:929               passed input to drone                                 -
  09-12-2023 05:47:20:939:996         passed window size to drone                                 -
   09-12-2023 05:47:20:940:26                            yMax_now                                 53
   09-12-2023 05:47:20:940:55                            xMax_now                                100
  09-12-2023 05:47:20:941:117                      dronePositionY                                 15
  09-12-2023 05:47:20:941:170                      dronePositionX                                 15
   09-12-2023 05:47:21:42:462                          user input                                 -1
   09-12-2023 05:47:21:42:581               passed input to drone                                 -
   09-12-2023 05:47:21:42:698         passed window size to drone                                 -
   09-12-2023 05:47:21:42:756                            yMax_now                                 53
   09-12-2023 05:47:21:42:810                            xMax_now                                100
   09-12-2023 05:47:21:44:767                      dronePositionY                                 15
   09-12-2023 05:47:21:44:830                      dronePositionX                                 15
  09-12-2023 05:47:21:147:318                          user input                                 -1
  09-12-2023 05:47:21:147:441               passed input to drone                                 -
  09-12-2023 05:47:21:147:558         passed window size to drone                                 -
  09-12-2023 05:47:21:147:614                            yMax_now                                 53
  09-12-2023 05:47:21:147:667                            xMax_now                                100
  09-12-2023 05:47:21:149:601                      dronePositionY                                 15
  09-12-2023 05:47:21:149:662                      dronePositionX                                 15
  09-12-2023 05:47:21:204:857                          user input                                100
  09-12-2023 05:47:21:204:908               passed input to drone                                 -
  09-12-2023 05:47:21:204:962         passed window size to drone                                 -
  09-12-2023 05:47:21:204:991                            yMax_now                                 53
   09-12-2023 05:47:21:205:16                            xMax_now                                100
  09-12-2023 05:47:21:205:740                      dronePositionY                                 15
  09-12-2023 05:47:21:205:767                      dronePositionX                                 15
  09-12-2023 05:47:21:306:938                          user input                                 -1
   09-12-2023 05:47:21:307:75               passed input to drone                                 -
  09-12-2023 05:47:21:307:229         passed window size to drone                                 -
  09-12-2023 05:47:21:307:353                            yMax_now                                 53
  09-12-2023 05:47:21:307:433                            xMax_now                                100
  09-12-2023 05:47:21:309:703                      dronePositionY                                 15
  09-12-2023 05:47:21:309:789                      dronePositionX                                 15
  09-12-2023 05:47:21:397:236                          user input                                100
  09-12-2023 05:47:21:397:367               passed input to drone                                 -
  09-12-2023 05:47:21:397:518         passed window size to drone                                 -
  09-12-2023 05:47:21:397:603                            yMax_now                                 53
  09-12-2023 05:47:21:397:674                            xMax_now                                100
  09-12-2023 05:47:21:399:811                      dronePositionY                                 15
  09-12-2023 05:47:21:399:913                      dronePositionX                                 15
  09-12-2023 05:47:21:502:299                          user input                                 -1
  09-12-2023 05:47:21:502:418               passed input to drone                                 -
  09-12-2023 05:47:21:502:536         passed window size to drone                                 -
  09-12-2023 05:47:21:502:592                            yMax_now                                 53
  09-12-2023 05:47:21:502:645                            xMax_now                                100
  09-12-2023 05:47:21:504:626                      dronePositionY                                 15
  09-12-2023 05:47:21:504:689                      dronePositionX                                 15
  09-12-2023 05:47:21:577:371                          user input                                100
  09-12-2023 05:47:21:577:484               passed input to drone                                 -
  09-12-2023 05:47:21:577:600         passed window size to drone                                 -
  09-12-2023 05:47:21:577:656                            yMax_now                                 53
  09-12-2023 05:47:21:577:709                            xMax_now                                100
  09-12-2023 05:47:21:579:669                      dronePositionY                                 15
  09-12-2023 05:47:21:579:736                      dronePositionX                                 15
  09-12-2023 05:47:21:682:228                          user input                                 -1
  09-12-2023 05:47:21:682:349               passed input to drone                                 -
  09-12-2023 05:47:21:682:466         passed window size to drone                                 -
  09-12-2023 05:47:21:682:523                            yMax_now                                 53
  09-12-2023 05:47:21:682:576                            xMax_now                                100
  09-12-2023 05:47:21:684:548                      dronePositionY                                 15
  09-12-2023 05:47:21:684:612                      dronePositionX                                 15
   09-12-2023 05:47:21:789:37                          user input                                 -1
  09-12-2023 05:47:21:789:156               passed input to drone                                 -
  09-12-2023 05:47:21:789:287         passed window size to drone                                 -
  09-12-2023 05:47:21:789:359                            yMax_now                                 53
  09-12-2023 05:47:21:789:414                            xMax_now                                100
  09-12-2023 05:47:21:794:265                      dronePositionY                                 15
  09-12-2023 05:47:21:794:355                      dronePositionX                                 15
  09-12-2023 05:47:21:899:868                          user input                                 -1
  09-12-2023 05:47:21:899:994               passed input to drone                                 -
  09-12-2023 05:47:21:900:123         passed window size to drone                                 -
  09-12-2023 05:47:21:900:187                            yMax_now                                 53
  09-12-2023 05:47:21:900:245                            xMax_now                                100
  09-12-2023 05:47:21:902:408                      dronePositionY                                 15
  09-12-2023 05:47:21:902:476                      dronePositionX                                 15
    09-12-2023 05:47:22:5:185                          user input                                 -1
    09-12-2023 05:47:22:5:311               passed input to drone                                 -
    09-12-2023 05:47:22:5:442         passed window size to drone                                 -
    09-12-2023 05:47:22:5:506                            yMax_now                                 53
    09-12-2023 05:47:22:5:564                            xMax_now                                100
